"A1" "A2" "A3" "B1" "B2" "B3"
"192670" 4397 7151 5791 2597 3148 3371
"26523" 3865 7192 5389 3036 3367 3301
"192669" 530 758 969 813 1066 1137
"27285" 17 40 61 10 22 50
"54936" 645 704 628 2312 2808 2716
"1296" 283 441 512 1493 1780 2478
"27095" 894 648 675 2450 2747 3136
"55700" 21823 17699 19404 12222 13091 15632
"9967" 4337 4633 3719 6093 7466 7810
"79729" 159 39 55 449 438 432
"55194" 1108 739 496 1772 1881 1963
"83931" 4770 5366 2829 5563 7029 8459
"100506594" 54 49 34 16 22 16
"84967" 1228 1251 826 1731 1800 1996
"127700" 22 55 35 66 100 133
"64960" 1539 1919 1460 2354 2974 3332
"1441" 53146 57051 61221 4108 5734 5989
"2899" 0 0 0 0 0 0
"100422898" 0 0 0 0 0 0
"728431" 14 8 49 468 420 581
"80149" 7676 4052 4224 1794 1437 2172
"64769" 1701 1245 1244 2237 2693 2844
"79753" 2797 1827 1967 732 755 1043
"7802" 0 2 0 9 4 23
"29889" 2435 1558 1637 2243 2665 3094
"284654" 4 0 2 0 0 0
"54955" 37 107 80 436 451 515
"55143" 20 5 44 166 213 447
"284656" 0 0 0 20 28 18
"149175" 4 16 20 610 602 740
"79693" 755 580 570 1310 1367 1532
"127687" 697 550 462 4436 4049 4232
"4520" 1930 2032 2636 5326 4341 4614
"3633" 768 1701 1753 1306 1625 1789
"10946" 3642 4699 3119 3254 3568 4154
"2275" 2848 3193 1389 3488 2973 2900
"51118" 936 530 553 1357 1503 1598
"5453" 0 0 28 41 37 49
"64121" 777 885 936 1684 2320 2554
"26292" 255 253 260 1349 1159 1523
"100506806" 0 0 0 0 7 0
"81025" 4 4 0 8 18 3
"54933" 24 2 9 58 39 77
"79647" 11112 7615 7210 4780 4969 5427
"4725" 2275 1564 806 5146 5548 4838
"23499" 7096 8670 10240 9645 12016 13883
"100292290" 0 0 0 2 0 4
"643314" 374 414 538 374 544 725
"353500" 221 263 363 225 336 308
"728448" 246 341 538 199 327 398
"8761" 15662 10799 11802 10505 10548 14745
"100506950" 39 37 62 30 28 43
"677834" 108 46 185 49 44 74
"26508" 18 2 12 18 46 32
"84618" 6 0 0 0 0 0
"51440" 16 25 8 0 0 0
"10450" 500 307 665 1416 1312 1741
"656" 101 90 137 245 300 279
"64064" 65 8 17 25 22 16
"100287437" 30 0 8 6 22 11
"54802" 249 512 672 566 451 613
"4610" 897 1106 1299 951 883 748
"84879" 950 949 1802 1099 1297 1212
"10487" 13216 10768 10442 44301 53864 57894
"5538" 25773 16107 18608 39046 50496 56326
"6018" 5935 4493 5102 1075 1244 1285
"127391" 0 0 0 2 0 0
"10269" 595 468 653 5256 5507 6559
"1298" 908 1313 1404 1746 2517 3058
"100286988" 558 342 494 146 152 191
"64744" 8661 4924 7849 4322 4886 5224
"65243" 0 6 8 158 127 223
"339559" 36 53 58 193 278 306
"64789" 64 54 75 320 427 403
"127396" 154 195 119 203 209 258
"9783" 106 93 115 483 720 700
"100130557" 64 61 73 63 87 191
"4802" 1349 1262 1198 2988 3427 3388
"407034" 0 4 0 0 0 0
"407031" 0 0 0 0 0 2
"9132" 31 64 35 27 29 41
"163732" 964 762 1547 246 177 440
"1503" 489 236 523 1000 969 1439
"100507178" 6 36 34 19 62 43
"200172" 4 0 5 8 4 12
"22955" 305 464 343 713 591 847
"100132074" 6 0 8 16 14 2
"1907" 27 6 13 2 0 3
"59269" 1418 1591 1887 3345 3966 3832
"100507198" 34 38 31 22 4 7
"2981" 0 0 0 0 0 0
"2980" 0 0 0 0 0 2
"22887" 3389 4087 3931 2392 2854 3243
"284716" 0 0 2 4 20 34
"84217" 10 9 17 54 37 77
"79717" 1135 1061 1009 3245 3736 4274
"100507214" 18 8 8 26 15 18
"728621" 17 11 31 53 64 57
"10465" 413 276 344 438 566 687
"100507252" 6 0 9 10 7 4
"4904" 47167 30835 29989 66153 71918 97400
"149461" 0 0 4 2 0 0
"64175" 1185 1219 1026 1703 1913 2606
"79078" 282 210 275 353 320 370
"100129924" 13 7 16 12 1 5
